,Name,code,Team,Chance of playing next round,Predicted Points,Live cost
321,Tyler Roberts,173821,10,,[0.713852307478312],4.6
322,Jay-Roy Grot,204642,10,0.0,[-0.053454089141120376],4.7
324,Ian Carlo Poveda-Ocampo,215460,10,100.0,[0.5447328920188858],4.2
325,Jamie Shackleton,221610,10,100.0,[0.6964749750940967],4.8
327,Jordan Stevens,434138,10,0.0,[-0.053454089141120376],4.3
334,Mateusz Bogusz,480216,10,0.0,[-0.053454089141120376],4.3
336,Raphael Dias Belloli,219961,10,25.0,[2.044525607848297],5.4
337,Jack Jenkins,492374,10,,[-0.053454089141120376],4.5
343,Crysencio Summerville,450070,10,,[-0.053454089141120376],4.5
344,James Milner,15157,11,100.0,[0.7885702133825861],5.3
346,Georginio Wijnaldum,41733,11,,[3.4503077788019363],5.3
347,Jordan Henderson,56979,11,0.0,[2.150424226621083],5.4
350,Xherdan Shaqiri,68312,11,100.0,[0.12541565742797345],6.4
351,Alex Oxlade-Chamberlain,81880,11,100.0,[0.3315875436291625],6.3
354,Sadio Mané,110979,11,100.0,[2.3602568495648937],11.7
356,Fabio Henrique Tavares,116643,11,100.0,[1.3044219700749105],5.4
357,Mohamed Salah,118748,11,100.0,[5.814931583748741],12.7
360,Harry Wilson,153682,11,0.0,[-0.053454089141120376],5.1
363,Naby Keita,175592,11,100.0,[0.40230348192028065],5.2
364,Curtis Jones,206915,11,100.0,[0.9257570312579253],4.4
366,Harvey Elliott,444884,11,0.0,[-0.053454089141120376],4.3
367,Diogo Jota,194634,11,100.0,[2.1723942614374634],7.1
368,Thiago Alcántara do Nascimento,61558,11,100.0,[1.0193454049244817],5.5
372,Leighton Clarkson,233489,11,,[-0.053454089141120376],4.5
373,Jake Cain,243343,11,,[-0.053454089141120376],4.5
383,Ilkay Gündogan,59859,12,100.0,[2.696304530896663],5.7
384,Kevin De Bruyne,61366,12,100.0,[0.6991112795860964],11.9
387,Riyad Mahrez,103025,12,,[2.226852670600631],8.0
388,Raheem Sterling,103955,12,100.0,[1.893048901098991],11.1
393,Bernardo Mota Veiga de Carvalho e Silva,165809,12,100.0,[0.4336021963383787],7.4
396,Phil Foden,209244,12,,[1.786673330014953],6.0
397,Tommy Doyle,220394,12,100.0,[-0.053454089141120376],4.4
398,Rodrigo Hernandez,220566,12,100.0,[1.6832745857858171],5.3
399,Ferran Torres,224444,12,100.0,[0.7342257515466295],6.9
401,Adrián Bernabé,449926,12,100.0,[-0.053454089141120376],4.5
404,Cole Palmer,244851,12,100.0,[-0.053454089141120376],4.4
408,Felix Nmecha,219265,12,,[-0.053454089141120376],4.5
411,Claudio Gomes,219291,12,,[-0.053454089141120376],4.5
413,Juan Mata,43670,13,100.0,[0.06382110989034848],5.8
418,Nemanja Matic,62398,13,100.0,[0.5690030415332232],4.7
419,Paul Pogba,74208,13,100.0,[1.5323136196268257],7.6
422,Frederico Rodrigues de Paula Santos,101582,13,,[1.1664293790258624],5.3
424,Bruno Miguel Borges Fernandes,141746,13,,[2.995969847533349],11.5
426,Andreas Pereira,156689,13,0.0,[-0.053454089141120376],4.8
428,Marcus Rashford,176297,13,100.0,[2.512618765140828],9.6
431,Scott McTominay,195851,13,100.0,[2.1680488646832794],4.9
433,Daniel James,200617,13,100.0,[0.8155229526040894],6.2
437,Mason Greenwood,220688,13,100.0,[1.9573039042359628],7.1
438,Tahith Chong,222677,13,0.0,[-0.053454089141120376],4.4
439,James Garner,232928,13,0.0,[-0.053454089141120376],4.4
442,Donny van de Beek,180184,13,100.0,[0.6309709999312796],6.6
445,Facundo Pellistri,488404,13,0.0,[-0.053454089141120376],5.2
447,Amad Diallo,493250,13,,[-0.053454089141120376],5.4
448,Shola Shoretire,472464,13,,[-0.029426577544389352],4.4
450,Joseph Willock,200089,14,0.0,[1.8874139885589378],4.7
452,Jonjo Shelvey,50232,14,100.0,[2.0776481762776307],5.3
453,Matt Ritchie,56983,14,100.0,[0.9626170684457083],4.9
461,Christian Atsu,104953,14,0.0,[-0.053454089141120376],5.2
467,Isaac Hayden,153127,14,0.0,[1.5555731304931322],4.6
468,Rolando Aarons,155513,14,0.0,[-0.053454089141120376],4.8
469,Allan Saint-Maximin,170137,14,100.0,[1.1627758433687785],5.1
470,Miguel Almirón,179018,14,100.0,[3.154670293688456],5.6
474,Sean Longstaff,180135,14,,[1.5035228077932805],4.6
475,Jeff Hendrick,83314,14,100.0,[1.9920719241348566],4.5
476,Matthew Longstaff,223175,14,100.0,[0.44720344421731717],4.8
478,Jacob Murphy,114243,14,,[1.6261019287981813],4.9
480,Ryan Fraser,90105,14,0.0,[0.4199305615580155],5.6
482,Elliot Anderson,215379,14,,[-0.027134653063388567],4.5
488,John Fleck,47247,15,100.0,[2.3476870334672366],5.6
