,Name,code,Team,Chance of playing next round,Predicted Points,Live cost
363,Nicolás Otamendi,57410,12,0.0,[-0.22887491768210566],4.9
364,Kyle Walker,58621,12,100.0,[3.1569330829793834],6.1
367,John Stones,97299,12,,[4.525144949344707],5.2
368,Benjamin Mendy,102826,12,100.0,[1.0536959632828795],5.9
371,João Pedro Cavaco Cancelo,121145,12,100.0,[4.476065790123003],6.1
373,Nathan Aké,126184,12,0.0,[0.8211228151929748],5.4
374,Aymeric Laporte,146941,12,100.0,[1.2896647202806477],6.0
377,Oleksandr Zinchenko,206325,12,100.0,[2.2935620221365394],5.5
382,Eric Garcia,432656,12,100.0,[0.11615917261075381],4.7
387,Rúben Santos Gato Alves Dias,171314,12,100.0,[4.64338023459174],6.1
391,Luke Mbete,439510,12,,[-0.22887491768210566],4.0
392,Taylor Harwood-Bellis,245719,12,0.0,[-0.22887491768210566],4.0
397,Chris Smalling,55909,13,0.0,[-0.3248121683793683],4.9
399,Marcos Rojo,58893,13,0.0,[-0.3248121683793683],4.8
402,Phil Jones,76359,13,0.0,[-0.3248121683793683],4.8
403,Harry Maguire,95658,13,100.0,[3.9050856032628842],5.5
405,Luke Shaw,106760,13,100.0,[2.6674476881892186],5.1
411,Axel Tuanzebe,180804,13,100.0,[-0.19925761802246855],4.2
412,Victor Lindelöf,184667,13,100.0,[2.9633834418918523],4.8
414,Eric Bailly,197365,13,100.0,[0.8801578914960082],4.8
416,Timothy Fosu-Mensah,201084,13,0.0,[-0.32984210967601646],4.3
417,Aaron Wan-Bissaka,214590,13,100.0,[4.392859751054693],5.6
418,José Diogo Dalot Teixeira,216051,13,0.0,[-0.3248121683793683],4.8
422,Brandon Williams,232937,13,100.0,[-0.28294087582972605],4.2
423,Teden Mengi,244856,13,0.0,[-0.3248121683793683],3.9
425,Alex Nicolao Telles,152590,13,100.0,[0.580176660049831],5.4
435,Federico Fernández,57145,14,50.0,[2.1476606623839416],4.7
436,Ciaran Clark,58845,14,100.0,[1.905045819404397],4.5
439,Florian Lejeune,77359,14,0.0,[0.017820869825141195],4.3
440,Jamaal Lascelles,101148,14,100.0,[1.2479085226910198],4.2
443,Paul Dummett,106618,14,100.0,[0.19225105376526574],4.4
444,Javier Manquillo,109528,14,0.0,[1.475073731103355],4.2
445,Emil Krafth,111773,14,100.0,[0.8646737503948136],4.2
446,Fabian Schär,119471,14,0.0,[1.3008241371485385],4.9
447,DeAndre Yedlin,151119,14,0.0,[0.6763556686222052],4.3
454,Kelland Watts,232977,14,0.0,[0.017820869825141195],3.9
462,Jamal Lewis,194799,14,100.0,[2.5582983073555203],4.2
468,Chris Basham,40386,15,0.0,[1.6357187890344107],4.6
470,Enda Stevens,63426,15,100.0,[1.04460119831371],5.0
474,George Baldock,82691,15,100.0,[0.945147441890585],4.9
475,Jack Robinson,83427,15,0.0,[0.101951606668504],4.2
476,John Egan,108416,15,0.0,[1.3312735210954665],4.7
477,Jack O'Connell,146610,15,0.0,[-0.14044474975930132],4.7
486,Ethan Ampadu,199598,15,100.0,[1.6140595202386445],4.3
487,Jayden Bogle,226182,15,0.0,[1.3132611731183428],4.3
488,Max Lowe,155197,15,100.0,[0.15719456022287392],4.3
489,Phil Jagielka,7645,15,100.0,[0.23448567804499776],3.9
491,Kean Bryan,109638,15,100.0,[0.3689001533839109],3.9
493,Kyron Gordon,478449,15,,[-0.2836962037948272],4.0
500,Ryan Bertrand,40146,16,100.0,[3.6332892011702578],5.0
505,Jack Stephens,88900,16,,[2.6202481273310814],4.6
507,Jannik Vestergaard,93100,16,100.0,[3.5568391202679246],4.7
512,Kyle Walker-Peters,158534,16,0.0,[3.4641829418172776],4.7
513,Jan Bednarek,171771,16,100.0,[4.73132188440629],4.9
515,Yan Valery,213482,16,0.0,[0.2023721948120092],4.7
517,Jake Vokins,214470,16,0.0,[-0.0033564512281945014],3.9
520,Mohammed Salisu,450527,16,100.0,[0.12623503350082865],4.3
525,Kayne Ramsay,232797,16,,[0.24515684919529868],4.0
529,Allan Tchaptchet,447093,16,,[0.09292466037085312],4.0
534,Danny Rose,38290,17,0.0,[0.22340069274784646],4.7
536,Toby Alderweireld,55605,17,100.0,[2.8683089891714433],5.4
539,Serge Aurier,80226,17,100.0,[2.9057654872135874],5.2
541,Eric Dier,93264,17,100.0,[3.071935756469541],4.9
545,Ben Davies,115556,17,100.0,[2.1498605274251235],4.6
548,Davinson Sánchez,173904,17,,[1.2674003220988337],5.2
549,Ryan Sessegnon,184349,17,0.0,[0.22340069274784646],4.7
552,Japhet Tanganga,199584,17,100.0,[0.45126209261596495],4.9
556,Juan Foyth,234908,17,0.0,[0.22340069274784646],4.3
557,Matt Doherty,87835,17,100.0,[1.6374411767039458],5.6
559,Cameron Carter-Vickers,168763,17,0.0,[0.22340069274784646],3.9
560,Sergio Reguilón,199249,17,100.0,[2.4348207833437403],5.5
563,Joe Rodon,214225,17,,[0.9386763311060515],5.0
566,Ainsley Maitland-Niles,154043,18,,[1.7036590717348326],4.6
569,Kieran Gibbs,42427,18,0.0,[1.1698749208459192],4.3
574,Kyle Bartley,59940,18,100.0,[2.658416755052544],4.4
576,Ahmed El-Sayed Hegazy,77777,18,0.0,[0.4303913201052252],4.1
580,Conor Townsend,108053,18,100.0,[1.9396168129243323],4.4
581,Oluwasemilogo Adesewo Ibidapo Ajayi,146426,18,0.0,[3.450362588693533],4.8
584,Darnell Furlong,176420,18,,[3.4178845910047935],4.5
586,Dara O'Shea,216616,18,,[2.1613299603173024],4.2
591,Cedric Kipre,183015,18,0.0,[0.12746344205058424],4.3
592,Branislav Ivanovic,41135,18,100.0,[1.5638430734112099],4.4
596,Lee Peltier,38716,18,100.0,[0.48524892352570115],4.0
606,Angelo Ogbonna,40669,19,0.0,[3.7661102630343755],4.9
609,Aaron Cresswell,55459,19,100.0,[4.586896227279684],5.8
612,Ryan Fredericks,81012,19,50.0,[0.44734792065987694],4.2
616,Arthur Masuaku,105717,19,0.0,[1.4073045649282232],4.3
617,Fabián Balbuena,166640,19,100.0,[1.6897544222998993],4.2
624,Issa Diop,219924,19,100.0,[0.2020351562597118],4.3
625,Ben Johnson,222018,19,,[0.3106515497697391],3.9
626,Vladimir Coufal,164555,19,,[3.2152275169184388],4.7
627,Craig Dawson,60232,19,,[2.0865788169411124],4.5
629,Frederik Alves,486870,19,,[-0.5440973128302544],4.0
632,Jamal Baptiste,462384,19,,[-0.5440973128302544],4.0
636,Ryan Bennett,41727,20,0.0,[0.14116876357876462],4.4
637,Willy Boly,90585,20,0.0,[3.1750371477130477],5.4
638,Conor Coady,94147,20,100.0,[3.5952741430460993],4.8
640,Romain Saïss,107613,20,100.0,[4.054378579831738],4.9
641,Jonathan Castro Otto,114128,20,100.0,[0.19263428345655909],5.4
646,Oskar Buur,179456,20,0.0,[0.16229131698804222],3.9
648,Max Kilman,214048,20,,[2.3756289689763],4.0
649,Rúben Gonçalo Silva Nascimento Vinagre,216054,20,0.0,[0.4991151946403001],4.1
656,Fernando Marçal,111291,20,75.0,[0.9412491025509673],4.7
658,Ki-Jana Hoever,441271,20,,[0.40376297896434865],4.4
659,Nélson Cabral Semedo,200402,20,,[3.152268726050005],5.2
661,Rayan Ait Nouri,448514,20,100.0,[1.7043832607137321],5.0
666,Lewis Richards,437688,20,,[0.14116876357876462],4.0
667,Christian Marques,481626,20,,[0.14116876357876462],3.9
670,Nigel Lonwijk,465551,20,,[0.14116876357876462],4.0
672,Hugo Bueno,490721,20,,[0.14116876357876462],4.0
